MINAS GERAIS;TUPACIGUARA;Restrição Administrativa;79
PIAUI;VALENCA DO PIAUI;Restrição Judical;8
MINAS GERAIS;IPANEMA;Restrição Judical;56
PARA;SENADOR JOSE PORFIRIO;Sem Restrição;1517
PIAUI;GUADALUPE;Alienação Fiduciária;1920
ESPIRITO SANTO;ITARANA;Reserva de Domínio;58
PARANA;IRETAMA;Restrição Administrativa;60
RIO GRANDE DO SUL;HERVEIRAS;Alienação Fiduciária;371
GOIAS;GOIANESIA;Reserva de Domínio;168
GOIAS;CAMPINORTE;Arrendamento;43
SAO PAULO;BURI;Restrição Judical;56
PIAUI;PIRIPIRI;Restrição Judical;40
RIO GRANDE DO SUL;GUARANI DAS MISSOES;Restrição por Roubo e Furto;2
SERGIPE;CANINDE DE SAO FRANCISCO;Alienação Fiduciária;1751
SANTA CATARINA;CAPIVARI DE BAIXO;Restrição Judical;83
MINAS GERAIS;GUARANI;Restrição Judical;14
MINAS GERAIS;PIEDADE DE PONTE NOVA;Restrição Judical;8
SAO PAULO;SAO JOSE DO BARREIRO;Restrição Administrativa;57
MINAS GERAIS;ASTOLFO DUTRA;Reserva de Domínio;20
SAO PAULO;PIRASSUNUNGA;Arrendamento;384
PARAIBA;POMBAL;Restrição Beneficiário Tributário;839
PIAUI;JERUMENHA;Alienação Fiduciária;496
MINAS GERAIS;JURUAIA;Alienação Fiduciária;1184
SANTA CATARINA;SAO JOAO DO ITAPERIU;Restrição Administrativa;23
PARANA;CAMPO DO TENENTE;Restrição Administrativa;71
MINAS GERAIS;OURO VERDE DE MINAS;Alienação Fiduciária;351
PARANA;RANCHO ALEGRE D'OESTE;Restrição Judical;13
SANTA CATARINA;ANCHIETA;Restrição Judical;4
MINAS GERAIS;CAETE;Arrendamento;86
CEARA;IRACEMA;Alienação Fiduciária;1438
PERNAMBUCO;LAGOA DO OURO;Alienação Fiduciária;785
MINAS GERAIS;RAUL SOARES;Reserva de Domínio;74
PARANA;ESPERANCA NOVA;Restrição Judical;12
MINAS GERAIS;SAO GONCALO DO SAPUCAI;Reserva de Domínio;172
